,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
470,-0.4215,Mon Jan 08 16:10:04 +0000 2018,0.725,0.188,0.087,"RT @marcatracy: Tonight, Georgia's band will over and over play a Georgia fight song. It's ""Battle Hymn of the Republic."" How the Civil War…",71,@nytimes
471,0.0,Mon Jan 08 16:00:34 +0000 2018,1.0,0.0,0.0,Do parents make kids fat? https://t.co/4YjB4jynMC,72,@nytimes
472,0.0,Mon Jan 08 15:55:07 +0000 2018,1.0,0.0,0.0,"RT @nytvideo: The Trump administration will end a program that allowed nearly 200,000 people from El Salvador to stay in the U.S. In this v…",73,@nytimes
473,0.0,Mon Jan 08 15:51:07 +0000 2018,1.0,0.0,0.0,Some of the economic policies Trump's administration is pursuing are at odds with what many in the farm industry sa… https://t.co/Z6Fw7JV7x9,74,@nytimes
474,0.5994,Mon Jan 08 15:41:05 +0000 2018,0.754,0.0,0.246,"RT @nytopinion: Trump's defenders have learned to praise him in order to steady him, writes @CharlesMBlow https://t.co/M4ihQXJKG9",75,@nytimes
475,-0.836,Mon Jan 08 15:33:07 +0000 2018,0.706,0.294,0.0,"Recy Taylor, who Oprah Winfrey mentioned in her Golden Globes speech, was abducted and raped by 6 white men in 1944… https://t.co/yNKXXg9dpp",76,@nytimes
476,0.0,Mon Jan 08 15:20:13 +0000 2018,1.0,0.0,0.0,"President Hassan Rouhani of Iran lashed out at his hard-line opponents: ""One cannot force one's lifestyle on the fu… https://t.co/Q3IPF3oHOu",77,@nytimes
477,0.0,Mon Jan 08 15:20:05 +0000 2018,1.0,0.0,0.0,"Breaking News: Nearly 200,000 Salvadorans allowed to live in the U.S. temporarily after 2 earthquakes in 2001 must… https://t.co/m3rU3Opnnb",78,@nytimes
478,0.0258,Mon Jan 08 15:11:08 +0000 2018,0.794,0.1,0.105,RT @NYTScience: “There’s this hollowness yet this ghostlike pain still there which is fascinating from a scientific perspective but horrifi…,79,@nytimes
479,-0.128,Mon Jan 08 15:10:07 +0000 2018,0.933,0.067,0.0,"Seth Meyers wisecracked about the notion that Oprah Winfrey might run for president. By the end of her speech, it s… https://t.co/225ffDJ7bI",80,@nytimes
480,0.7125,Mon Jan 08 15:04:55 +0000 2018,0.762,0.0,0.238,"RT @melbournecoal: BREAK: GLAMOUR has chosen its next top editor: Samantha Barry, an executive producer at CNN. Her digital and television…",81,@nytimes
481,0.0,Mon Jan 08 15:00:35 +0000 2018,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/nv888KXNiY https://t.co/VofYEJ5Wmx,82,@nytimes
482,0.0,Mon Jan 08 14:46:05 +0000 2018,1.0,0.0,0.0,Video: #MeToo leads at the Golden Globes https://t.co/FGqPe6hoY2,83,@nytimes
